Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
2018,145,Teoscar Hernández,25,TOR,AL,0.5,134,523,476,67,114,29,7,22,57,5,5,41,163,0.239,0.302,0.468,0.771,109.0,0.33,108.0,223,14,3,0,3,0,*79H/D,,hernate01
2019,177,Teoscar Hernández,26,TOR,AL,1.4,125,464,417,58,96,19,2,26,65,6,3,45,153,0.23,0.306,0.472,0.778,105.0,0.329,103.0,197,8,1,0,1,1,*87H/D,,hernate01
2021,78,Teoscar Hernández,28,TOR,AL,3.8,143,595,550,92,163,29,0,32,116,12,4,36,148,0.296,0.346,0.524,0.87,131.0,0.38,137.0,288,5,7,0,2,1,*97D/8H,ASMVP-19SS,hernate01
2022,126,Teoscar Hernández,29,TOR,AL,2.8,131,535,499,71,133,35,1,25,77,6,3,34,152,0.267,0.316,0.491,0.807,128.0,0.359,134.0,245,18,2,0,0,0,*9D/7H,,hernate01
2023,27,Teoscar Hernández,30,SEA,AL,2.1,160,678,625,70,161,29,2,26,93,7,2,38,211,0.258,0.305,0.435,0.741,108.0,0.318,104.0,272,6,8,0,7,2,*9D/H,,hernate01
2024,35,Teoscar Hernández,31,LAD,NL,4.3,154,652,589,84,160,32,2,33,99,12,3,53,188,272.0,339.0,501.0,840.0,137.0,368.0,141.0,295,7,8,0,1,3,*79,ASMVP-19SS,hernate01
2019,592,Thairo Estrada,23,NYY,AL,0.3,35,69,64,12,16,3,0,3,12,4,0,3,15,0.25,0.294,0.438,0.732,92.0,0.335,96.0,28,1,1,1,0,0,4H/679D,,estrath01
2021,539,Thairo Estrada,25,SFG,NL,0.7,52,132,121,19,33,4,0,7,22,1,0,9,23,0.273,0.333,0.479,0.813,118.0,0.355,119.0,58,2,2,0,0,1,6H4/579,,estrath01
2022,122,Thairo Estrada,26,SFG,NL,1.8,140,541,488,71,127,22,2,14,62,21,6,33,89,0.26,0.322,0.4,0.722,105.0,0.334,111.0,195,10,14,1,5,0,467H/58,,estrath01
2023,125,Thairo Estrada,27,SFG,NL,2.3,120,530,495,63,134,26,2,14,49,23,7,22,120,0.271,0.315,0.416,0.731,102.0,0.325,101.0,206,10,11,0,2,1,46/7D,,estrath01
2024,223,Thairo Estrada,28,SFG,NL,-0.5,96,381,364,43,79,15,2,9,47,2,2,10,76,217.0,247.0,343.0,590.0,68.0,263.0,69.0,125,8,5,0,2,0,4/DH,,estrath01
2024,522,Thomas Saggese,22,STL,NL,-0.2,18,52,49,5,10,2,0,1,4,0,0,2,14,204.0,250.0,306.0,556.0,55.0,246.0,48.0,15,0,1,0,0,0,4/65,,saggeth01
2016,212,Tim Anderson,23,CHW,AL,2.4,99,431,410,57,116,22,6,9,30,10,2,13,117,0.283,0.306,0.432,0.738,100.0,0.326,101.0,177,15,1,6,1,0,6,ROY-7,anderti01
2017,77,Tim Anderson,24,CHW,AL,-0.4,146,606,587,72,151,26,4,17,56,15,1,13,162,0.257,0.276,0.402,0.679,81.0,0.305,82.0,236,13,3,2,1,0,*6/H,,anderti01
2018,75,Tim Anderson,25,CHW,AL,3.7,153,606,567,77,136,28,3,20,64,26,8,30,149,0.24,0.281,0.406,0.687,87.0,0.308,88.0,230,15,4,2,3,2,*6/HD,,anderti01
2019,133,Tim Anderson,26,CHW,AL,4.2,123,518,498,81,167,32,0,18,56,17,5,15,109,0.335,0.357,0.508,0.865,128.0,0.369,128.0,253,12,3,0,2,0,*6/DH,,anderti01
2021,119,Tim Anderson,28,CHW,AL,4.7,123,551,527,94,163,29,2,17,61,18,7,22,119,0.309,0.338,0.469,0.806,118.0,0.357,123.0,247,5,1,0,1,1,*6,AS,anderti01
2022,289,Tim Anderson,29,CHW,AL,1.3,79,351,332,50,100,13,0,6,25,13,0,14,55,0.301,0.339,0.395,0.734,109.0,0.332,105.0,131,10,5,0,0,1,6,AS,anderti01
2023,132,Tim Anderson,30,CHW,AL,-2.0,123,524,493,52,121,18,2,1,25,13,2,26,122,0.245,0.286,0.296,0.582,62.0,0.263,54.0,146,15,3,0,2,0,*6/H4,,anderti01
2024,336,Tim Anderson,31,MIA,NL,-1.5,65,241,234,16,50,3,0,0,9,4,4,7,68,214.0,237.0,226.0,463.0,27.0,204.0,15.0,53,6,0,0,0,0,6/H,,anderti01
2015,704,Tom Murphy,24,COL,NL,0.1,11,39,35,5,9,1,0,3,9,0,0,4,10,0.257,0.333,0.543,0.876,119.0,0.389,130.0,19,0,0,0,0,1,2,,murphto04
2016,634,Tom Murphy,25,COL,NL,0.6,21,49,44,8,12,2,0,5,13,1,0,4,19,0.273,0.347,0.659,1.006,144.0,0.425,149.0,29,2,1,0,0,0,2H,,murphto04
2017,740,Tom Murphy,26,COL,NL,-0.5,12,26,24,1,1,1,0,0,1,0,0,2,9,0.042,0.115,0.083,0.199,-50.0,0.113,-82.0,2,0,0,0,0,1,/2H,,murphto04
2018,549,Tom Murphy,27,COL,NL,-0.3,37,96,93,5,21,7,1,2,11,0,1,3,44,0.226,0.25,0.387,0.637,58.0,0.265,41.0,36,2,0,0,0,1,2H/D,,murphto04
2019,332,Tom Murphy,28,SEA,AL,2.6,75,281,260,32,71,12,1,18,40,2,0,19,87,0.273,0.324,0.535,0.858,128.0,0.353,122.0,139,0,1,0,1,0,2/D1H7,,murphto04
2021,290,Tom Murphy,30,SEA,AL,0.9,97,325,277,35,56,8,0,11,34,0,0,40,99,0.202,0.304,0.35,0.655,84.0,0.29,84.0,97,8,2,0,3,0,2H/D,,murphto04
2022,716,Tom Murphy,31,SEA,AL,0.5,14,42,33,9,10,2,0,1,1,0,0,8,13,0.303,0.439,0.455,0.894,164.0,0.397,168.0,15,1,0,0,0,0,2/HD,,murphto04
2023,466,Tom Murphy,32,SEA,AL,1.2,47,159,145,19,42,12,0,8,17,0,0,10,44,0.29,0.335,0.538,0.873,144.0,0.365,138.0,78,4,1,0,2,0,2/DH,,murphto04
2024,553,Tom Murphy,33,SFG,NL,-0.4,13,38,34,3,4,1,0,1,2,0,0,4,14,118.0,211.0,235.0,446.0,29.0,206.0,27.0,8,0,0,0,0,0,2/DH,,murphto04
2019,272,Tommy Edman,24,STL,NL,3.9,92,349,326,59,99,17,7,11,36,15,1,16,61,0.304,0.35,0.5,0.85,122.0,0.382,132.0,163,3,7,0,0,0,54H9/78,,edmanto01
2021,5,Tommy Edman,26,STL,NL,3.5,159,691,641,91,168,41,3,11,56,30,5,38,95,0.262,0.308,0.387,0.695,91.0,0.317,93.0,248,4,6,2,4,1,*49/6H,GG,edmanto01
2022,46,Tommy Edman,27,STL,NL,6.2,153,630,577,95,153,31,4,13,57,32,3,46,111,0.265,0.324,0.4,0.725,107.0,0.33,105.0,231,10,5,1,1,2,46/5H98,,edmanto01
2023,128,Tommy Edman,28,STL,NL,2.1,137,528,479,69,119,25,4,13,47,27,4,35,84,0.248,0.307,0.399,0.705,91.0,0.319,91.0,191,9,7,3,4,1,468/9H,,edmanto01
2024,410,Tommy Edman,29,LAD,NL,0.9,37,153,139,20,33,5,1,6,20,6,0,11,30,237.0,294.0,417.0,711.0,101.0,321.0,101.0,58,2,1,0,2,0,86/H4,,edmanto01
2015,457,Tommy Pham,27,STL,NL,1.5,52,173,153,28,41,7,5,5,18,2,0,19,41,0.268,0.347,0.477,0.824,123.0,0.368,126.0,73,1,0,0,1,1,87H/9,,phamth01
2016,432,Tommy Pham,28,STL,NL,-0.3,78,183,159,26,36,7,0,9,17,2,2,20,71,0.226,0.324,0.44,0.764,103.0,0.328,100.0,70,3,3,1,0,1,87H/9,,phamth01
2017,140,Tommy Pham,29,STL,NL,6.2,128,530,444,95,136,22,2,23,73,25,7,71,117,0.306,0.411,0.52,0.931,144.0,0.417,157.0,231,18,10,2,3,0,*78H/9,MVP-11,phamth01
2018,110,Tommy Pham,30,2TM,2LG,3.4,137,570,494,102,136,18,6,21,63,15,7,67,140,0.275,0.367,0.464,0.83,127.0,0.366,131.0,229,18,6,0,3,2,*87/HD,,phamth01
2019,42,Tommy Pham,31,TBR,AL,3.9,145,654,567,77,155,33,2,21,68,25,4,81,123,0.273,0.369,0.45,0.818,120.0,0.367,127.0,255,22,5,0,1,4,*7D/H,,phamth01
2021,108,Tommy Pham,33,SDP,NL,1.4,155,561,475,74,109,24,2,15,49,14,6,78,128,0.229,0.34,0.383,0.724,103.0,0.328,108.0,182,10,4,0,4,3,*7H8/D9,,phamth01
2022,48,Tommy Pham,34,2TM,2LG,0.5,144,622,554,89,131,23,1,17,63,8,3,56,167,0.236,0.312,0.374,0.686,89.0,0.305,85.0,207,20,7,0,5,0,*7D/H,,phamth01
2023,167,Tommy Pham,35,2TM,NL,1.5,129,481,426,55,109,27,3,16,68,22,3,47,106,0.256,0.328,0.446,0.774,111.0,0.342,109.0,190,11,2,0,6,1,7DH9/8,,phamth01
2024,144,Tommy Pham,36,3TM,2LG,-0.2,116,478,440,49,109,20,3,9,39,7,3,35,106,248.0,305.0,368.0,674.0,91.0,308.0,96.0,162,5,2,0,1,0,978/DH,,phamth01
2017,829,Tomás Nido,23,NYM,NL,0.0,5,10,10,0,3,1,0,0,3,0,0,0,2,0.3,0.3,0.4,0.7,86.0,0.302,82.0,4,0,0,0,0,0,/2H,,nidoto01
2018,557,Tomás Nido,24,NYM,NL,-0.5,34,90,84,10,14,3,0,1,9,0,0,4,27,0.167,0.2,0.238,0.438,23.0,0.215,25.0,20,4,0,0,2,0,2/H,,nidoto01
2019,494,Tomás Nido,25,NYM,NL,-0.8,50,144,136,9,26,5,0,4,14,0,0,7,37,0.191,0.231,0.316,0.547,45.0,0.229,30.0,43,4,0,1,0,2,2/H,,nidoto01
2021,494,Tomás Nido,27,NYM,NL,0.3,58,161,153,16,34,5,1,3,13,1,0,5,44,0.222,0.261,0.327,0.588,60.0,0.269,60.0,50,4,3,0,0,1,2/H5,,nidoto01
2022,321,Tomás Nido,28,NYM,NL,0.3,98,313,284,31,68,15,0,3,28,0,0,14,76,0.239,0.276,0.324,0.6,72.0,0.269,69.0,92,14,1,12,2,0,2/H,,nidoto01
2023,620,Tomás Nido,29,NYM,NL,-0.8,22,61,56,5,7,0,0,0,1,0,0,2,18,0.125,0.153,0.125,0.278,-21.0,0.127,-43.0,7,2,0,2,1,0,2/H,,nidoto01
2024,417,Tomás Nido,30,2TM,NL,-0.4,49,140,130,14,25,4,0,4,12,0,0,5,35,192.0,219.0,315.0,534.0,50.0,235.0,44.0,41,1,0,3,2,0,2/H,,nidoto01
2016,472,Tony Kemp,24,HOU,AL,-0.5,59,136,120,15,26,4,3,1,7,2,1,14,27,0.217,0.296,0.325,0.621,73.0,0.28,72.0,39,5,0,1,1,0,7H/D489,,kempto01
2017,675,Tony Kemp,25,HOU,AL,0.0,17,39,37,6,8,1,0,0,4,1,0,1,5,0.216,0.256,0.243,0.5,39.0,0.234,33.0,9,0,1,0,0,0,7/H8D,,kempto01
2018,340,Tony Kemp,26,HOU,AL,0.6,97,295,255,37,67,15,0,6,30,9,3,32,44,0.263,0.351,0.392,0.743,105.0,0.331,104.0,100,7,3,3,1,1,78H/49D,,kempto01
2019,342,Tony Kemp,27,2TM,2LG,0.2,110,279,245,31,52,9,4,8,29,4,4,23,47,0.212,0.291,0.38,0.671,74.0,0.285,68.0,93,4,6,1,4,1,4H78/D9,,kempto01
2021,229,Tony Kemp,29,OAK,AL,3.4,131,397,330,54,92,16,3,8,37,8,2,52,51,0.279,0.382,0.418,0.8,126.0,0.359,131.0,138,2,6,4,5,0,47H/D6,,kempto01
2022,104,Tony Kemp,30,OAK,AL,1.2,147,558,497,61,117,24,2,7,46,11,1,45,69,0.235,0.307,0.334,0.641,90.0,0.292,88.0,166,5,8,5,3,0,47H/D,,kempto01
2023,216,Tony Kemp,31,OAK,AL,-1.0,124,419,359,42,75,13,3,5,27,15,4,44,40,0.209,0.303,0.304,0.607,73.0,0.28,78.0,109,9,6,7,3,0,74H/D,,kempto01
2024,614,Tony Kemp,32,BAL,AL,-0.2,5,10,9,1,0,0,0,0,0,0,0,1,1,0.0,100.0,0.0,100.0,-67.0,69.0,-67.0,0,0,0,0,0,0,/4H7,,kempto01
2021,814,Travis Blankenhorn,24,NYM,NL,-0.1,23,24,23,3,4,2,0,1,4,0,0,1,8,0.174,0.208,0.391,0.6,60.0,0.292,78.0,9,0,0,0,0,0,H/479,,blanktr01
2022,852,Travis Blankenhorn,25,NYM,NL,-0.1,1,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,-124.0,0,0,0,0,0,0,/D,,blanktr01
2023,667,Travis Blankenhorn,26,WSN,NL,-0.1,10,37,31,2,5,0,0,1,1,0,0,6,6,0.161,0.297,0.258,0.555,57.0,0.264,60.0,8,0,0,0,0,0,/79,,blanktr01
2024,564,Travis Blankenhorn,27,WSN,NL,-0.5,13,32,31,2,4,1,0,0,5,0,0,1,9,129.0,156.0,161.0,318.0,-9.0,144.0,-21.0,5,0,0,0,0,0,D/9H,,blanktr01
2015,550,Travis Jankowski,24,SDP,NL,0.1,34,96,90,9,19,2,2,2,12,2,1,4,24,0.211,0.245,0.344,0.589,63.0,0.281,70.0,31,1,0,2,0,0,89/H,,jankotr01
2016,237,Travis Jankowski,25,SDP,NL,1.4,131,383,335,53,82,13,2,2,12,30,12,42,100,0.245,0.332,0.313,0.646,78.0,0.298,77.0,105,5,2,3,0,0,*8H9/7,,jankotr01
2017,539,Travis Jankowski,26,SDP,NL,-0.2,27,87,75,10,14,2,0,0,1,4,0,9,28,0.187,0.282,0.213,0.496,36.0,0.248,32.0,16,2,1,2,0,0,7/89H,,jankotr01
2018,262,Travis Jankowski,27,SDP,NL,1.3,117,387,347,45,90,12,3,4,17,24,7,37,73,0.259,0.332,0.346,0.678,90.0,0.316,93.0,120,7,1,2,0,0,987H,,jankotr01
2019,775,Travis Jankowski,28,SDP,NL,0.0,25,24,22,4,4,0,0,0,0,2,2,2,4,0.182,0.25,0.182,0.432,19.0,0.176,8.0,4,0,0,0,0,0,H/897,,jankotr01
2021,498,Travis Jankowski,30,PHI,NL,0.4,76,157,131,24,33,6,2,1,10,5,0,22,29,0.252,0.364,0.351,0.715,96.0,0.337,101.0,46,1,1,2,0,4,8H/97,,jankotr01
2022,660,Travis Jankowski,31,2TM,2LG,-0.1,44,64,55,11,9,0,0,0,2,3,0,8,10,0.164,0.281,0.164,0.445,33.0,0.244,44.0,9,0,1,0,0,0,7H98/D,,jankotr01
2023,343,Travis Jankowski,32,TEX,AL,1.4,107,287,247,34,65,12,1,1,30,19,1,35,42,0.263,0.357,0.332,0.689,93.0,0.332,96.0,82,6,2,1,2,0,7H98/D,,jankotr01
2024,365,Travis Jankowski,33,TEX,AL,0.3,104,207,190,19,38,5,0,1,12,11,1,12,44,200.0,266.0,242.0,508.0,48.0,256.0,54.0,46,3,5,0,0,0,9H7D8,,jankotr01
2015,345,Travis d'Arnaud,26,NYM,NL,1.5,67,268,239,31,64,14,1,12,41,0,0,23,49,0.268,0.34,0.485,0.825,126.0,0.361,127.0,116,7,4,0,2,0,2/H,,darnatr01
2016,330,Travis d'Arnaud,27,NYM,NL,-0.5,75,276,251,27,62,7,0,4,15,0,0,19,50,0.247,0.307,0.323,0.629,72.0,0.285,68.0,81,7,3,2,1,1,2/H,,darnatr01
2017,256,Travis d'Arnaud,28,NYM,NL,1.2,112,376,348,39,85,19,1,16,57,0,0,23,59,0.244,0.293,0.443,0.735,94.0,0.322,96.0,154,12,2,0,3,3,2H/45D,,darnatr01
2018,806,Travis d'Arnaud,29,NYM,NL,-0.1,4,16,15,1,3,0,0,1,3,0,0,1,5,0.2,0.25,0.4,0.65,79.0,0.284,75.0,6,0,0,0,0,0,/2,,darnatr01
2019,230,Travis d'Arnaud,30,3TM,2LG,1.0,103,391,351,52,88,16,0,16,69,0,1,32,85,0.251,0.312,0.433,0.745,98.0,0.318,97.0,152,4,2,0,6,0,23H/D,,darnatr01
2021,418,Travis d'Arnaud,32,ATL,NL,0.3,60,229,209,21,46,14,0,7,26,0,0,17,53,0.22,0.284,0.388,0.671,76.0,0.292,70.0,81,7,2,0,1,0,2/HD,,darnatr01
2022,215,Travis d'Arnaud,33,ATL,NL,2.8,107,426,396,61,106,25,1,18,60,0,0,19,90,0.268,0.319,0.472,0.791,117.0,0.347,117.0,187,12,11,0,0,0,2/DH,AS,darnatr01
2023,342,Travis d'Arnaud,34,ATL,NL,0.2,74,292,267,31,60,13,0,11,39,0,0,21,67,0.225,0.288,0.397,0.685,84.0,0.3,79.0,106,6,3,0,1,0,2/DH,,darnatr01
2024,249,Travis d'Arnaud,35,ATL,NL,1.1,99,341,307,40,73,16,0,15,48,1,0,24,89,238.0,302.0,436.0,739.0,103.0,320.0,101.0,134,8,6,0,4,0,2H,,darnatr01
2015,683,Trea Turner,22,WSN,NL,0.3,27,44,40,5,9,1,0,1,1,2,2,4,12,0.225,0.295,0.325,0.62,69.0,0.29,78.0,13,0,0,0,0,0,H4/6,,turnetr01
2016,293,Trea Turner,23,WSN,NL,3.4,73,324,307,53,105,14,8,13,40,33,6,14,59,0.342,0.37,0.567,0.937,142.0,0.422,150.0,174,1,1,0,2,0,84/6H,ROY-2,turnetr01
2017,211,Trea Turner,24,WSN,NL,3.0,98,447,412,75,117,24,6,11,45,46,8,30,80,0.284,0.338,0.451,0.789,101.0,0.372,111.0,186,4,4,0,1,0,6/H,,turnetr01
2018,2,Trea Turner,25,WSN,NL,4.7,162,740,664,103,180,27,6,19,73,43,9,69,132,0.271,0.344,0.416,0.76,100.0,0.353,105.0,276,7,5,2,0,3,*6/H,,turnetr01
2019,94,Trea Turner,26,WSN,NL,4.0,122,569,521,96,155,37,5,19,57,35,5,43,113,0.298,0.353,0.497,0.85,117.0,0.372,118.0,259,10,3,0,2,2,*6,,turnetr01
2021,30,Trea Turner,28,2TM,NL,6.4,148,646,595,107,195,34,3,28,77,32,5,41,110,0.328,0.375,0.536,0.911,145.0,0.396,144.0,319,18,6,0,4,2,64/H,ASMVP-5,turnetr01
2022,3,Trea Turner,29,LAD,NL,5.2,160,708,652,101,194,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,124.0,0.356,121.0,304,9,3,0,6,1,*6,ASMVP-11SS,turnetr01
2023,17,Trea Turner,30,PHI,NL,3.4,155,691,639,102,170,35,5,26,76,30,0,45,150,0.266,0.32,0.459,0.778,110.0,0.349,112.0,293,12,6,0,1,2,*6/D,,turnetr01
2024,107,Trea Turner,31,PHI,NL,3.0,121,539,505,88,149,25,0,21,62,19,4,27,98,295.0,338.0,469.0,807.0,124.0,358.0,127.0,237,10,6,0,1,0,*6/D,AS,turnetr01
2019,436,Trent Grisham,22,MIL,NL,0.6,51,183,156,24,36,6,2,6,24,1,0,20,48,0.231,0.328,0.41,0.738,90.0,0.319,87.0,64,3,4,0,3,0,879H,,grishtr01
2021,148,Trent Grisham,24,SDP,NL,3.3,132,527,462,61,112,28,3,15,62,13,5,54,119,0.242,0.327,0.413,0.74,106.0,0.329,107.0,191,10,6,1,4,2,*8H,,grishtr01
2022,134,Trent Grisham,25,SDP,NL,2.5,152,524,451,58,83,16,2,17,53,7,1,57,150,0.184,0.284,0.341,0.626,81.0,0.284,81.0,154,3,7,7,2,1,*8H,GG,grishtr01
2023,105,Trent Grisham,26,SDP,NL,2.0,153,555,469,67,93,31,1,13,50,15,3,75,154,0.198,0.315,0.352,0.666,84.0,0.309,92.0,165,7,5,4,1,0,*8/H,,grishtr01
2024,361,Trent Grisham,27,NYY,AL,0.4,76,209,179,21,34,8,0,9,31,1,1,22,57,190.0,290.0,385.0,675.0,90.0,306.0,95.0,69,5,4,1,2,1,8H/D,,grishtr01
2024,570,Trenton Brooks,28,SFG,NL,-0.2,12,29,25,3,3,0,0,0,1,1,0,4,6,120.0,241.0,120.0,361.0,10.0,193.0,12.0,3,1,0,0,0,0,/3HD,,brooktr01
2021,317,Trevor Larnach,24,MIN,AL,0.6,79,301,260,29,58,12,0,7,28,1,0,31,104,0.223,0.322,0.35,0.672,88.0,0.304,90.0,91,3,8,0,2,0,79/H,,larnatr01
2022,466,Trevor Larnach,25,MIN,AL,1.3,51,180,160,22,37,13,0,5,18,0,0,18,57,0.231,0.306,0.406,0.712,102.0,0.309,97.0,65,1,0,0,2,1,79/DH,,larnatr01
2023,405,Trevor Larnach,26,MIN,AL,0.1,58,212,183,26,39,7,3,8,40,1,1,27,72,0.213,0.311,0.415,0.727,97.0,0.318,99.0,76,2,0,0,2,1,79/HD,,larnatr01
2024,207,Trevor Larnach,27,MIN,AL,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,259.0,338.0,434.0,771.0,116.0,341.0,117.0,154,12,3,0,2,1,7D9H,,larnatr01
2016,223,Trevor Story,23,COL,NL,4.3,97,415,372,67,101,21,4,27,72,8,5,35,130,0.272,0.341,0.567,0.909,122.0,0.38,121.0,211,5,5,2,1,2,6/H,ROY-4,storytr01
2017,117,Trevor Story,24,COL,NL,2.6,145,555,503,68,120,32,3,24,82,7,2,49,191,0.239,0.308,0.457,0.765,84.0,0.336,85.0,230,12,2,0,1,4,*6/H,,storytr01
2018,38,Trevor Story,25,COL,NL,6.2,157,656,598,88,174,42,6,37,108,27,6,47,168,0.291,0.348,0.567,0.914,127.0,0.401,133.0,339,12,7,0,4,3,*6/H,ASMVP-8SS,storytr01
2019,38,Trevor Story,26,COL,NL,7.0,145,656,588,111,173,38,5,35,85,23,8,58,174,0.294,0.363,0.554,0.917,120.0,0.392,126.0,326,3,7,0,3,0,*6/H,ASMVP-12SS,storytr01
2021,79,Trevor Story,28,COL,NL,4.2,142,595,526,88,132,34,5,24,75,20,6,53,139,0.251,0.329,0.471,0.801,102.0,0.354,104.0,248,7,11,0,5,2,*6/HD,,storytr01
2022,245,Trevor Story,29,BOS,AL,2.5,94,396,357,53,85,22,0,16,66,13,0,32,122,0.238,0.303,0.434,0.737,102.0,0.334,102.0,155,9,3,0,4,4,4/H,,storytr01
2023,460,Trevor Story,30,BOS,AL,0.8,43,168,158,12,32,9,0,3,14,10,3,9,55,0.203,0.25,0.316,0.566,52.0,0.272,58.0,50,2,1,0,0,0,6/DH4,,storytr01
2024,451,Trevor Story,31,BOS,AL,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,255.0,340.0,394.0,733.0,104.0,325.0,104.0,37,2,1,0,0,2,6,,storytr01
2023,627,Trey Cabbage,26,LAA,AL,-0.3,22,56,53,5,11,3,0,1,7,1,1,2,26,0.208,0.232,0.321,0.553,49.0,0.233,38.0,17,1,0,0,1,0,/39H78,,cabbatr01
2024,468,Trey Cabbage,27,HOU,AL,-0.1,45,91,86,12,18,8,0,1,8,1,1,4,34,209.0,253.0,337.0,590.0,68.0,255.0,63.0,29,1,1,0,0,0,9H7/D,,cabbatr01
2024,359,Trey Lipscomb,24,WSN,NL,-0.1,61,211,190,20,38,3,0,1,10,11,2,16,40,200.0,268.0,232.0,500.0,45.0,248.0,48.0,44,7,2,1,1,0,5/3H4D,,lipsctr01
2024,436,Trey Sweeney,24,DET,AL,0.7,36,119,110,11,24,5,0,4,17,2,0,7,32,218.0,269.0,373.0,642.0,81.0,290.0,81.0,41,3,1,0,1,0,6,,sweentr01
2023,748,Tristan Gray,27,TBR,AL,0.1,2,5,5,1,2,0,0,1,1,0,0,0,0,0.4,0.4,1.0,1.4,271.0,0.576,285.0,5,0,0,0,0,0,/36,,graytr01
2024,568,Tristan Gray,28,2TM,2LG,-0.1,15,31,28,0,3,1,0,0,0,0,0,3,16,107.0,194.0,143.0,336.0,-1.0,164.0,-5.0,4,0,0,0,0,0,/35H,,graytr01
2022,602,Triston Casas,22,BOS,AL,0.1,27,95,76,11,15,1,0,5,12,1,0,19,23,0.197,0.358,0.408,0.766,113.0,0.354,120.0,31,4,0,0,0,0,3/H,,casastr01
2023,152,Triston Casas,23,BOS,AL,2.2,132,502,429,66,113,21,2,24,65,0,0,70,126,0.263,0.367,0.49,0.856,129.0,0.369,130.0,210,7,1,0,2,2,*3H/D,ROY-3,casastr01
2024,331,Triston Casas,24,BOS,AL,0.6,63,243,212,28,51,8,0,13,32,0,1,30,77,241.0,337.0,462.0,800.0,120.0,340.0,116.0,98,6,1,0,0,4,3/HD,,casastr01
2015,337,Tucker Barnhart,24,CIN,NL,0.2,81,274,242,23,61,9,0,3,18,0,1,25,45,0.252,0.324,0.326,0.65,79.0,0.296,77.0,79,10,2,2,3,5,2/H9,,barnhtu01
2016,219,Tucker Barnhart,25,CIN,NL,0.9,115,420,377,34,97,23,1,7,51,1,0,36,72,0.257,0.323,0.379,0.702,86.0,0.318,87.0,143,12,2,2,3,8,2/H,,barnhtu01
2017,230,Tucker Barnhart,26,CIN,NL,3.6,121,423,370,26,100,24,2,7,44,4,0,42,68,0.27,0.347,0.403,0.75,95.0,0.326,89.0,149,12,3,5,3,11,*2H,GG,barnhtu01
2018,146,Tucker Barnhart,27,CIN,NL,0.8,138,522,460,50,114,21,3,10,46,0,4,54,96,0.248,0.328,0.372,0.699,88.0,0.309,85.0,171,13,2,3,3,2,*2H3,,barnhtu01
2019,260,Tucker Barnhart,28,CIN,NL,0.5,114,364,316,32,73,14,0,11,40,1,0,44,83,0.231,0.328,0.38,0.708,80.0,0.309,75.0,120,5,2,1,1,7,2H/3,,barnhtu01
2021,235,Tucker Barnhart,30,CIN,NL,0.3,116,388,348,41,86,21,0,7,48,0,0,29,100,0.247,0.317,0.368,0.685,77.0,0.304,73.0,128,8,8,0,3,1,2H/3,,barnhtu01
2022,326,Tucker Barnhart,31,DET,AL,-0.2,94,308,281,16,62,10,0,1,16,0,0,25,74,0.221,0.287,0.267,0.554,61.0,0.258,61.0,75,7,1,1,0,0,2/15,,barnhtu01
2023,512,Tucker Barnhart,32,CHC,NL,-0.6,43,123,109,6,22,3,0,1,9,1,0,12,42,0.202,0.285,0.257,0.541,52.0,0.252,43.0,28,4,1,0,1,0,2/1H,,barnhtu01
2024,459,Tucker Barnhart,33,ARI,NL,0.3,31,96,81,13,14,3,0,0,6,1,0,13,31,173.0,287.0,210.0,497.0,42.0,252.0,49.0,17,0,0,2,0,0,2/1H,,barnhtu01
2019,409,Ty France,24,SDP,NL,-0.3,69,201,184,20,43,8,1,7,24,0,2,9,49,0.234,0.294,0.402,0.696,84.0,0.301,86.0,74,8,7,0,1,0,54H/13,,francty01
2021,28,Ty France,26,SEA,AL,4.4,152,650,571,85,166,32,1,18,73,0,0,46,106,0.291,0.368,0.445,0.813,128.0,0.36,134.0,254,13,27,0,6,1,3D4/5H,,francty01
2022,57,Ty France,27,SEA,AL,3.1,140,613,551,65,151,27,1,20,83,0,0,35,94,0.274,0.338,0.436,0.774,125.0,0.345,129.0,240,18,21,0,5,3,*3/D5H4,AS,francty01
2023,32,Ty France,28,SEA,AL,0.7,158,665,587,79,147,32,0,12,58,1,0,43,117,0.25,0.337,0.366,0.703,101.0,0.318,104.0,215,25,34,0,1,0,*3/H,,francty01
2024,110,Ty France,29,2TM,2LG,-0.6,140,535,479,46,112,24,0,13,51,1,1,38,114,234.0,305.0,365.0,670.0,92.0,301.0,95.0,175,16,13,0,5,0,*3/DH4,,francty01
2024,515,Tyler Black,23,MIL,NL,-0.1,18,57,49,4,10,2,0,0,2,3,0,7,17,204.0,316.0,245.0,561.0,59.0,280.0,62.0,12,0,1,0,0,0,D/3H,,blackty01
2023,673,Tyler Fitzgerald,25,SFG,NL,0.2,10,34,32,3,7,2,0,2,5,2,0,2,10,0.219,0.265,0.469,0.733,99.0,0.323,93.0,15,0,0,0,0,0,/85,,fitzgty01
